node_id,true_x,true_y,est_x_without,est_y_without,est_x_with,est_y_with,error_without,error_with,improvement_percent
8,10,10,21.862334635699025,17.347663556236924,9.811070515586685,9.653579824523359,13.953606800571562,0.3945900252894743,97.17212881995992
9,15,8,22.807295785023125,16.935490012968113,14.732147816540039,6.470038720433669,11.865784813769915,1.5532309258949597,86.91000258076079
10,20,12,23.01953190679075,20.24929305027698,20.089532801533263,11.848185456260008,8.78455512621302,0.17624919359071262,97.99364690575182
11,25,15,12.965908552004977,51.56374229606279,23.99602227767924,15.642722439608027,38.49320209688456,1.1920836385472593,96.90313205031144
12,30,10,26.899362974668016,4.335724772468854,29.66974943024674,9.464434320795538,6.457396055383516,0.6292026983127852,90.25609250359949
13,35,8,26.160253519508615,3.396612967026212,34.67310922836981,7.761047681048098,9.966558584321422,0.4049145432180377,95.937268217587
14,40,12,47.151426398397575,34.28589042381992,40.16839821898027,11.963910668537828,23.405209067944817,0.17222194982380773,99.26417256379189
15,12,20,13.966288043004797,22.704798227754374,12.870997448132362,20.852116540616116,3.3439829725832686,1.2184987293570166,63.56145532596085
16,18,25,20.623406981741553,25.312599547874175,18.486216644610487,25.24616050537067,2.6419656828167666,0.5449785499454308,79.37223206607305
17,22,30,21.219690524512554,35.944622782828354,23.00902046598402,29.64335819039174,5.995616974728907,1.0701942258932537,82.15039035341908
18,28,32,29.91167518882592,34.05615477722315,29.017415822226102,32.27138287173386,2.8075388680248397,1.052987947882849,62.494269985881004
19,32,28,31.134026213133232,32.672479579246705,32.56615960234495,27.419774010586153,4.752049664935946,0.8106780459089007,82.94045510738937
20,38,30,36.83186592498927,31.94588654146276,38.56957811672566,29.539980344178723,2.269584025641497,0.7321456923281555,67.74097437872058
21,42,25,44.77538903562689,24.28706234811613,42.87232514022616,23.84549370682818,2.865495488489142,1.4470093058594775,49.50230032913345
22,8,35,14.702378792446574,39.02506053491586,8.48730951224155,35.5292448778644,7.818119581278783,0.7194238677350102,90.79799355515439
23,15,40,17.489636671865803,38.33267064421999,15.45196977472398,39.96256995301139,2.9963774693026948,0.4535170180727667,84.86448978077827
24,20,38,15.961599534092409,31.611522773561997,20.67438903310172,38.377107104497824,7.557864751089401,0.7726644396053202,89.77668342776381
25,25,42,29.94164682267672,34.56395059538913,25.703455940185282,41.65094765912601,8.928309138234663,0.7852947194853478,91.20444075886222
26,30,38,32.762796703083396,35.55880418595415,29.989547380076907,36.96296737794537,3.686798424796703,1.0370852985501053,71.87030102934656
27,35,40,34.721153152912606,34.06583041036755,35.479960896214344,39.746367164334714,5.940717488877004,0.5428554846572797,90.86212253530512
28,40,35,37.10816615131443,32.2834520025642,40.230952100642135,34.94292187365756,3.9676612797435316,0.2379007887708199,94.00400457606104
29,12,42,16.64706422413462,38.911574965896676,11.948222674900544,41.66970718137422,5.579746866526117,0.3343265431134901,94.00821307648965
